,UUID,PLAYER,BIRTH_DATE,POS,EXPERIENCE,HEIGHT,WEIGHT,NATIONALITY,COLLEGE
157,1e693e03-3a1e-4faa-bfe2-baedcec0223a,Anthony Davis,1993-03-11,PF,8,6-10,253,US,Kentucky
158,b1a6a0f6-3148-4681-ac69-a64d310055de,Anthony Edwards,2001-08-05,SG,R,6-4,225,US,Georgia
159,94285489-d105-4b2d-854d-865d5852df55,Anthony Frederick,1964-12-07,SF,1,6-7,205,US,Pepperdine
160,34c9227d-be67-458c-a41d-13a638f8228b,Anthony Gill,1992-10-17,PF,R,6-7,230,US,"South Carolina, Virginia"
161,6aef926e-dac6-42ab-94fe-c16fcb6340cf,Anthony Goldwire,1971-09-06,PG,7,6-1,182,US,Houston
162,ec6bdb52-5ccf-445a-962e-f082f6ab1a26,Anthony Grundy,1979-04-15,SG,R,6-3,180,US,NC State
163,5cbca48c-38b9-4930-98d5-487e84ad778b,Anthony Johnson,1974-10-02,PG,12,6-3,190,US,College of Charleston
164,5036b2d7-0c21-488c-9567-bb5f2289c2be,Anthony Jones,1962-09-13,SG,2,6-6,195,US,"Georgetown, UNLV"
165,4e5afdb7-f519-4ecf-9ca0-e39eae455443,Anthony Lamb,1998-01-20,SF,R,6-6,227,US,University of Vermont
166,c35a9e2b-524a-4f7b-bf26-e8b90cdec4b8,Anthony Mason,1966-12-14,C,12,6-7,250,US,Tennessee State
167,fab67d94-03ba-4db4-af73-fa110191f6f8,Anthony Miller,1971-10-22,PF,7,6-9,225,US,Michigan State
168,bbda0f28-e6c2-4ba9-bb83-35eee0983aef,Anthony Morrow,1985-09-27,SG,8,6-5,210,US,Georgia Tech
169,57037280-cbf7-4eb1-9c78-5c875c4bde95,Anthony Parker,1975-06-19,SF,8,6-6,215,US,Bradley
170,8e971d7a-4d6d-441a-bf84-b42989cffc57,Anthony Peeler,1969-11-25,SG,12,6-4,208,US,Missouri
171,327689ce-5c43-4e73-bcad-78613c6e744a,Anthony Pullard,1966-06-23,PF,R,6-10,245,US,McNeese State University
172,66a3def7-8151-4f92-a384-e0a978c58ede,Anthony Randolph,1989-07-15,PF,5,6-10,205,DE,LSU
173,12e810ca-bd4f-4690-aeae-108345123d08,Anthony Roberson,1983-02-14,PG,2,6-2,180,US,Florida
174,f06d6d18-bdb0-40ed-94e2-b532a4c81d8e,Anthony Roberts,1955-04-15,SF,4,6-5,185,US,Oral Roberts
175,7a890b54-b4ee-4a89-ad2b-8671713e1b82,Anthony Taylor,1965-11-30,PG,R,6-4,175,US,Oregon
176,2421afcc-d32e-4db7-90a4-5e9b59e01221,Anthony Tolliver,1985-06-01,PF,12,6-8,240,US,Creighton
177,9e452135-6c86-43fb-8b49-e37b15960a7d,Antoine Carr,1961-07-23,SF,15,6-9,225,US,Wichita State
178,e2354a9a-f151-4734-b5fa-a2520a938b02,Antoine Rigaudeau,1971-12-17,SG,R,6-7,210,FR,
179,f3240c6e-4528-49a3-985e-93ad72124f20,Antoine Walker,1976-08-12,PF,11,6-8,224,US,Kentucky
180,f148e30c-33cf-4f7e-a7aa-da18ca57c81e,Antoine Wright,1984-02-06,SG,5,6-7,210,US,Texas A&M
181,4b8f229a-7e82-40cd-ab4f-40dfca98e145,Antonio Anderson,1985-06-05,SF,R,6-6,215,US,Memphis
182,9a17f1b2-a682-4b30-a354-d7211ba24be6,Antonio Blakeney,1996-10-04,SG,1,6-4,192,US,LSU
183,399dbe2e-09ec-4c37-9aa8-a09736ee8061,Antonio Burks,1980-02-25,PG,1,6-1,200,US,Memphis
184,f4bd95f2-8662-4182-8d88-37c94ff9b874,Antonio Daniels,1975-03-19,PG,12,6-4,195,US,Bowling Green
185,3600c102-4eb8-491e-ae65-348f797c053e,Antonio Davis,1968-10-31,C,12,6-9,215,US,Texas-El Paso
186,24e53e00-9020-4c45-8cbc-2d1e01bd9513,Antonio Harvey,1970-07-06,PF,7,6-11,225,US,"Southern Illinois, Georgia, Pfeiffer University"
187,c7534dc9-1627-4734-bae3-aed63909358f,Antonio Lang,1972-05-15,SF,5,6-8,205,US,Duke
188,4b9697c2-f858-436d-8084-9164c6721da0,Antonio McDyess,1974-09-07,PF,14,6-9,220,US,Alabama
189,903b83c2-5e85-44dc-bf57-17df0b38acfd,Antonis Fotsis,1981-04-01,PF,R,6-10,219,GR,
190,69475d18-9756-47a6-9119-7bf1f55b08ba,Antonius Cleveland,1994-02-02,SG,1,6-5,195,US,SE Missouri State
191,43d3763e-d002-4a8d-9593-3159d07f37b9,Anžejs Pasečņiks,1995-12-20,C,1,7-1,229,LV,
192,27b3abfc-9cf5-4de0-a9f5-4819cb424937,Archie Clark,1941-07-15,SG,9,6-2,175,US,Minnesota
193,b0c73385-947b-4d64-b4e4-9508f870d689,Archie Goodwin,1994-08-17,SG,3,6-5,200,US,Kentucky
194,469a42ff-3199-4cfe-bf3e-ad9b1fc5cc84,Arinze Onuaku,1987-07-13,C,2,6-9,255,US,Syracuse
195,53531fa2-c70f-4f41-bf7a-d22b02e2422a,Armen Gilliam,1964-05-28,PF,12,6-9,230,US,UNLV
196,76e3d937-f6b7-4c05-82f6-9c368e5fb102,Armon Johnson,1989-02-23,PG,1,6-3,195,US,Nevada
197,19b172e8-920b-4a45-a4e7-7bd5e2ef361d,Armond Hill,1953-03-31,PG,7,6-4,190,US,Princeton
198,35f08343-d576-47d3-85bc-64edf62d62ea,Armoni Brooks,1998-06-05,SG,R,6-3,195,US,Houston
199,dc95342f-fadb-4ebb-a70a-43ef91a9e382,Arnett Moultrie,1990-11-18,PF,1,6-11,249,US,"Texas-El Paso, Mississippi State"
200,069bcff6-e291-4f68-85d3-aac34d3888cc,Aron Baynes,1986-12-09,C,8,6-10,260,NZ,Washington State
201,ff5f4946-a64e-43bd-a718-2b207bc12f11,Arron Afflalo,1985-10-15,SG,10,6-5,210,US,UCLA
202,4951b264-0375-43f8-b1f3-0e4d0da14208,Art Collins,1954-04-14,SG,R,6-4,185,US,St. Thomas University
203,e06ddec4-b5e2-4974-b07e-03e83a83cd96,Art Long,1972-10-01,PF,2,6-9,250,US,Cincinnati
204,725e471a-9e49-4a11-8bda-8342fde3da23,Artis Gilmore,1949-09-21,C,16,7-2,240,US,"Gardner-Webb University, Jacksonville University"
205,67892b76-6f9d-45cc-8dde-4d29f8013206,Arvid Kramer,1956-10-02,C,R,6-9,220,US,Augustana College (SD)
206,cbec32da-5b57-4f05-93a8-2c532324517d,Arvydas Macijauskas,1980-01-19,SG,R,6-4,214,LT,
207,c3b08d39-bebc-4701-b487-55a8c6e96e9c,Arvydas Sabonis,1964-12-19,C,6,7-3,279,LT,
208,3d516ed6-14d3-494f-88b5-069087bb9b4b,Ashraf Amaya,1971-11-23,PF,R,6-8,230,US,Southern Illinois
209,e82cb8ec-b5cb-4c07-a2c2-3534f37b97c2,Ashton Hagans,1999-07-08,PG,R,6-3,190,US,Kentucky
210,0e13ae16-9ca2-4e11-8292-2c77d58535ef,Askia Jones,1971-12-03,SG,R,6-5,200,US,Kansas State
211,232a1fb8-0964-41a4-b470-f52f949e6805,Audie Norris,1960-12-18,C,2,6-9,230,US,Jackson State University
212,52aa1152-38cf-442f-9c54-bcfb7174b877,Austin Carr,1948-03-10,SG,9,6-4,200,US,Notre Dame
213,4781f983-f178-417a-846d-3569da8acad3,Austin Croshere,1975-05-01,PF,11,6-9,235,US,Providence
214,6e8f1db4-b6f6-4d9b-8e87-37f11f962cf9,Austin Daye,1988-06-05,SF,5,6-11,220,US,Gonzaga
215,051ea0f9-971f-4761-8c84-f1e9ead22bf8,Austin Rivers,1992-08-01,SG,8,6-4,200,US,Duke
216,6c1db800-e706-439c-9970-44ed1a54db14,Avery Bradley,1990-11-26,SG,10,6-3,180,US,Texas
